Epoch Loss Val_Loss LR
243 6.529e+00 8.386e+00 2.500e-04
244 6.480e+00 7.212e+00 2.500e-04
245 6.531e+00 7.432e+00 2.500e-04
246 6.488e+00 7.249e+00 2.500e-04
247 6.526e+00 7.175e+00 2.500e-04
248 6.483e+00 7.010e+00 2.500e-04
249 6.455e+00 7.440e+00 2.500e-04
250 6.493e+00 7.769e+00 2.500e-04
251 6.450e+00 7.547e+00 2.500e-04
252 6.372e+00 7.066e+00 2.500e-04
253 6.503e+00 8.083e+00 2.500e-04
254 6.490e+00 7.647e+00 2.500e-04
255 6.446e+00 7.164e+00 2.500e-04
256 6.452e+00 7.807e+00 2.500e-04
257 6.448e+00 7.170e+00 2.500e-04
258 6.486e+00 7.196e+00 2.500e-04
259 6.374e+00 7.742e+00 2.500e-04
260 6.406e+00 7.209e+00 2.500e-04
261 6.441e+00 7.346e+00 2.500e-04
262 6.452e+00 7.402e+00 2.500e-04
263 6.378e+00 7.824e+00 2.500e-04
264 6.378e+00 7.534e+00 2.500e-04
265 6.541e+00 7.251e+00 2.500e-04
266 6.334e+00 7.696e+00 2.500e-04
267 6.403e+00 7.608e+00 2.500e-04
268 6.431e+00 7.599e+00 2.500e-04
269 6.352e+00 7.218e+00 2.500e-04
270 6.416e+00 7.919e+00 2.500e-04
271 6.388e+00 7.074e+00 2.500e-04
272 6.344e+00 7.086e+00 2.500e-04
273 6.298e+00 7.113e+00 2.500e-04
274 6.340e+00 7.137e+00 2.500e-04
275 6.395e+00 7.102e+00 2.500e-04
276 6.361e+00 7.333e+00 2.500e-04
277 6.363e+00 7.305e+00 2.500e-04
278 6.300e+00 7.430e+00 2.500e-04
279 6.345e+00 6.966e+00 2.500e-04
280 6.351e+00 7.412e+00 2.500e-04
281 6.353e+00 7.433e+00 2.500e-04
282 6.369e+00 7.031e+00 2.500e-04
283 6.263e+00 7.542e+00 2.500e-04
284 6.333e+00 6.883e+00 2.500e-04
285 6.305e+00 7.107e+00 2.500e-04
286 6.308e+00 7.610e+00 2.500e-04
287 6.269e+00 7.190e+00 2.500e-04
288 6.394e+00 7.789e+00 2.500e-04
289 6.307e+00 8.063e+00 2.500e-04
290 6.283e+00 7.887e+00 2.500e-04
291 6.314e+00 7.400e+00 2.500e-04
292 6.356e+00 7.371e+00 2.500e-04
293 6.340e+00 6.776e+00 2.500e-04
294 6.302e+00 8.012e+00 2.500e-04
295 6.307e+00 7.052e+00 2.500e-04
296 6.223e+00 7.311e+00 2.500e-04
297 6.260e+00 7.344e+00 2.500e-04
298 6.296e+00 6.923e+00 2.500e-04
299 6.334e+00 6.799e+00 2.500e-04
300 5.874e+00 6.796e+00 1.250e-04
301 5.857e+00 6.813e+00 1.250e-04
302 5.859e+00 6.962e+00 1.250e-04
303 5.869e+00 6.911e+00 1.250e-04
304 5.874e+00 6.819e+00 1.250e-04
305 5.859e+00 6.867e+00 1.250e-04
306 5.868e+00 6.862e+00 1.250e-04
307 5.848e+00 6.863e+00 1.250e-04
308 5.846e+00 6.795e+00 1.250e-04
309 5.861e+00 6.780e+00 1.250e-04
310 5.884e+00 6.823e+00 1.250e-04
311 5.839e+00 6.985e+00 1.250e-04
312 5.839e+00 7.162e+00 1.250e-04
313 5.904e+00 6.848e+00 1.250e-04
314 5.872e+00 6.749e+00 1.250e-04
315 5.831e+00 6.816e+00 1.250e-04
316 5.846e+00 7.076e+00 1.250e-04
317 5.830e+00 6.860e+00 1.250e-04
318 5.800e+00 6.691e+00 1.250e-04
319 5.830e+00 6.981e+00 1.250e-04
320 5.830e+00 8.507e+00 1.250e-04
321 5.798e+00 6.737e+00 1.250e-04
322 5.815e+00 6.745e+00 1.250e-04
323 5.784e+00 6.891e+00 1.250e-04
324 5.814e+00 6.929e+00 1.250e-04
325 5.826e+00 6.738e+00 1.250e-04
326 5.834e+00 6.901e+00 1.250e-04
327 5.796e+00 6.858e+00 1.250e-04
328 5.829e+00 6.796e+00 1.250e-04
329 5.773e+00 6.648e+00 1.250e-04
330 5.815e+00 6.944e+00 1.250e-04
331 5.806e+00 6.744e+00 1.250e-04
332 5.769e+00 6.950e+00 1.250e-04
333 5.768e+00 6.786e+00 1.250e-04
334 5.787e+00 6.753e+00 1.250e-04
335 5.782e+00 6.806e+00 1.250e-04
336 5.759e+00 6.782e+00 1.250e-04
337 5.760e+00 6.687e+00 1.250e-04
338 5.797e+00 6.822e+00 1.250e-04
339 5.796e+00 7.060e+00 1.250e-04
340 5.752e+00 6.691e+00 1.250e-04
341 5.779e+00 6.683e+00 1.250e-04
342 5.750e+00 6.997e+00 1.250e-04
343 5.800e+00 6.602e+00 1.250e-04
344 5.784e+00 7.398e+00 1.250e-04
345 5.774e+00 7.007e+00 1.250e-04
346 5.750e+00 6.815e+00 1.250e-04
347 5.773e+00 6.807e+00 1.250e-04
348 5.761e+00 6.676e+00 1.250e-04
349 5.770e+00 6.623e+00 1.250e-04
350 5.773e+00 6.754e+00 1.250e-04
351 5.760e+00 6.863e+00 1.250e-04
352 5.737e+00 7.094e+00 1.250e-04
353 5.806e+00 6.914e+00 1.250e-04
354 5.742e+00 6.690e+00 1.250e-04
355 5.758e+00 6.706e+00 1.250e-04
356 5.714e+00 6.749e+00 1.250e-04
357 5.747e+00 6.654e+00 1.250e-04
358 5.699e+00 6.808e+00 1.250e-04
359 5.716e+00 7.020e+00 1.250e-04
360 5.767e+00 6.798e+00 1.250e-04
361 5.726e+00 6.960e+00 1.250e-04
362 5.744e+00 6.804e+00 1.250e-04
363 5.732e+00 6.697e+00 1.250e-04
364 5.761e+00 6.738e+00 1.250e-04
365 5.702e+00 6.706e+00 1.250e-04
366 5.731e+00 6.537e+00 1.250e-04
367 5.756e+00 6.633e+00 1.250e-04
368 5.678e+00 6.938e+00 1.250e-04
369 5.718e+00 6.707e+00 1.250e-04
370 5.726e+00 6.765e+00 1.250e-04
371 5.702e+00 6.731e+00 1.250e-04
372 5.731e+00 6.604e+00 1.250e-04
373 5.697e+00 7.130e+00 1.250e-04
374 5.696e+00 6.905e+00 1.250e-04
375 5.699e+00 6.851e+00 1.250e-04
376 5.703e+00 6.697e+00 1.250e-04
377 5.674e+00 6.662e+00 1.250e-04
378 5.709e+00 6.641e+00 1.250e-04
379 5.693e+00 6.652e+00 1.250e-04
380 5.718e+00 6.848e+00 1.250e-04
381 5.673e+00 6.880e+00 1.250e-04
382 5.702e+00 6.949e+00 1.250e-04
383 5.674e+00 6.555e+00 1.250e-04
384 5.654e+00 6.648e+00 1.250e-04
385 5.693e+00 6.633e+00 1.250e-04
386 5.640e+00 7.209e+00 1.250e-04
387 5.649e+00 6.731e+00 1.250e-04
388 5.718e+00 6.544e+00 1.250e-04
389 5.681e+00 6.642e+00 1.250e-04
390 5.670e+00 6.625e+00 1.250e-04
391 5.661e+00 6.511e+00 1.250e-04
392 5.688e+00 7.283e+00 1.250e-04
393 5.669e+00 6.688e+00 1.250e-04
394 5.670e+00 6.640e+00 1.250e-04
395 5.705e+00 6.603e+00 1.250e-04
